Dataset,Sensitive Attribute,Mitigation,accuracy,f1_score,SPD,DI,EOD,AOD,Pipeline
compas,sex,baseline,0.6625086625086625,0.581255374032674,-0.2471517246798145,0.388986013986014,-0.3179567277826094,-0.2349346480443101,base
compas,sex,baseline,0.6784476784476784,0.6061120543293718,-0.3013920982568945,0.2870098039215686,-0.3421530797656233,-0.272925757521503,base
compas,sex,baseline,0.6756756756756757,0.5951557093425606,-0.2230263403002868,0.4329591740077674,-0.2286056253740275,-0.1902590968400192,base
compas,sex,baseline,0.6638946638946639,0.5822566752799311,-0.2567718650123346,0.365461425268026,-0.283157602663707,-0.2387652451064036,base
compas,sex,baseline,0.6722106722106722,0.6061615320566195,-0.2958111650859742,0.3214759462327555,-0.3870900572618427,-0.2808878488591164,base
compas,sex,baseline,0.6729036729036729,0.6,-0.2623260662078666,0.3705249517839923,-0.2971232288535853,-0.2448886845806969,base
compas,sex,baseline,0.6534996534996536,0.5769881556683588,-0.2300475204094066,0.4440518256772673,-0.2268856447688564,-0.2050589347593966,base
compas,sex,baseline,0.674982674982675,0.6008510638297873,-0.3101472215940873,0.2729542728008258,-0.419701666020922,-0.3090708492179165,base
compas,sex,baseline,0.6729036729036729,0.6099173553719007,-0.2811495399623102,0.364547447541497,-0.3399999999999999,-0.2642077775553655,base
compas,sex,baseline,0.683991683991684,0.6062176165803108,-0.234937831280437,0.4141943158902639,-0.2931722964126734,-0.2201420332066014,base
compas,sex,baseline,0.6625086625086625,0.5904121110176619,-0.3034004982735259,0.296279399837794,-0.3532596155552794,-0.2904768584160256,base
compas,sex,baseline,0.683991683991684,0.6109215017064847,-0.2905820546497101,0.2999884245861789,-0.3376967430263363,-0.2678368108195265,base
compas,race,reweighing,0.6626472626472626,0.5821253001713971,0.0259235289904245,1.0782496219264206,0.0298643665801508,0.0498027074129364,preprocessing
compas,race,reweighing,0.0122048158287992,0.0148357747255672,0.0357881457239212,0.1102439487793765,0.0389884729410055,0.0327035089058019,preprocessing
compas,sex,reweighing,0.6756756756756757,0.6013628620102215,-0.0803712056128293,0.7881289957300243,-0.0856227106227106,-0.0509430508338487,preprocessing
compas,sex,reweighing,0.6625086625086625,0.5855319148936171,-0.080782879045446,0.786566934781495,-0.0738908131288141,-0.0448741674307692,preprocessing
compas,sex,reweighing,0.6694386694386695,0.5877268798617113,0.0057637443133626,1.016453885097953,0.1001099904923472,0.0494141045036969,preprocessing
compas,sex,reweighing,0.6701316701316701,0.5959252971137522,-0.0345550988907332,0.90726784085212,0.0284226965122331,0.0252315854967414,preprocessing
compas,sex,reweighing,0.6798336798336798,0.6003460207612458,-0.0273864718958399,0.9230164964650432,0.0281650071123754,0.0152385729203495,preprocessing
compas,sex,reweighing,0.693000693000693,0.6197424892703862,-0.0380962938329083,0.8954148914587139,0.0294781954016332,0.0178258454997927,preprocessing
compas,sex,reweighing,0.6777546777546778,0.604255319148936,-0.0343918704350587,0.907102418939784,-0.0019841269841269,0.0092984270532914,preprocessing
compas,sex,reweighing,0.659043659043659,0.5794871794871794,-0.0099932010706782,0.9724178155721422,-0.042899487052058,0.0088736327414415,preprocessing
compas,sex,reweighing,0.6722106722106722,0.5981308411214954,-0.0513907141048671,0.8631159780985566,-0.0171039169128008,-0.0044988114588271,preprocessing
compas,sex,reweighing,0.6756756756756757,0.6073825503355704,-0.0305303270879644,0.919926039445629,-0.0060023274330862,0.0145935353048702,preprocessing
compas,sex,reweighing,0.668052668052668,0.5823888404533566,-0.0619032267518536,0.8267012356213388,-0.0328274089088841,-0.0341324100020949,preprocessing
compas,sex,reweighing,0.659043659043659,0.5794871794871794,-0.0865278050448693,0.7701727531161163,-0.1335034013605441,-0.0705923580579069,preprocessing
compas,sex,reweighing,0.6625086625086625,0.5931495405179615,-0.1011343901267413,0.7462921764923989,-0.0785950661853189,-0.0652538172456649,preprocessing
