Mitigation,Sensitive Attribute,accuracy,f1_score,SPD,DI,EOD,AOD
Baseline,race,0.6708246708246708,0.592274678111588,-0.2066642396727841,0.5160908589480018,-0.2339746471275735,-0.19003137084201666
Baseline,race,0.6756756756756757,0.6132231404958678,-0.21186750747906935,0.5387066541705717,-0.2547199496538704,-0.19780678100038498
Baseline,race,0.6909216909216909,0.6094570928196147,-0.1908211840446912,0.5306294511939673,-0.2563829787234043,-0.1633930391321557
Baseline,race,0.6632016632016632,0.5902192242833053,-0.1999395506167123,0.5447677057557433,-0.20716409002743064,-0.17694580431053747
Baseline,race,0.6874566874566874,0.6148590947907772,-0.15733773047519117,0.6203978300180831,-0.18523755656108604,-0.1483466654715605
Baseline,sex,0.6798336798336798,0.6064735945485519,-0.3171176975945017,0.2574805129494594,-0.3772893772893772,-0.2992675156332698
Baseline,sex,0.6632016632016632,0.5895270270270271,-0.3309073045872627,0.2307056560678007,-0.4043790202869867,-0.31559565424250613
Baseline,sex,0.6632016632016632,0.5888324873096445,-0.2611515922584625,0.3729170523977041,-0.25364926082660655,-0.23586214643557185
Baseline,sex,0.6798336798336798,0.6078098471986417,-0.2820361262028286,0.3298037246468572,-0.2817282665278501,-0.23919165522748434
Baseline,sex,0.683991683991684,0.6082474226804124,-0.27248015242934265,0.3302004621245238,-0.28032242769084875,-0.24331709674678553
Baseline,sex,0.7013167013167013,0.6287683031869079,-0.2790433433100543,0.3161969439728353,-0.32904770178181886,-0.24966848960412974
Baseline,sex,0.6895356895356896,0.6196943972835314,-0.3164718958399492,0.25480064606825586,-0.380952380952381,-0.29402054052643256
Baseline,sex,0.6715176715176715,0.5962521294718909,-0.27417448135194566,0.3417546542748743,-0.36296835341935707,-0.26499564103780493
Baseline,sex,0.6784476784476784,0.6013745704467353,-0.3141555043825277,0.24966164655743373,-0.38995386189455794,-0.2943392702412913
Baseline,sex,0.6888426888426888,0.6248955722639933,-0.2822356303588441,0.3459036180046513,-0.2661848471856434,-0.23863804884107936
Baseline,sex,0.6632016632016632,0.5839041095890412,-0.304384396705841,0.27842622313004567,-0.37792719302582356,-0.2957470246779189
Baseline,sex,0.6687456687456688,0.5969645868465431,-0.29663464278702745,0.3048920745868857,-0.3889751552795031,-0.28860013663638573
Baseline,sex,0.6708246708246708,0.6071133167907361,-0.33805380039167865,0.253330884903389,-0.356911853188929,-0.3109695877966503
